7530-213548
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1651839840, +3.52, +29.333,    -0.1, +1134.0,  -480.0,  +467.0
1651840440, +3.52, +29.325,    -0.1, +1126.0,  -480.0,  +480.0
1651841040, +3.52, +29.333,    +0.0, +1136.0,  -476.0,  +464.0
1651841640, +3.52, +29.300,    -0.2, +1132.0,  -482.0,  +472.0
1651842240, +3.52, +29.325,    -0.1, +1135.0,  -480.0,  +467.0
1651842840, +3.52, +29.333,    -0.3, +1112.0,  -488.0,  +496.0
1651843440, +3.52, +29.341,    +0.3, +1137.0,  -477.0,  +463.0
1651844040, +3.52, +29.333,    -0.2, +1129.0,  -480.0,  +472.0
1651844640, +3.52, +29.333,    -0.3, +1127.0,  -480.0,  +476.0
1651845240, +3.52, +29.341,    -0.2, +1118.0,  -484.0,  +487.0
1651845840, +3.52, +29.365,    -0.3, +1107.0,  -488.0,  +496.0
1651846440, +3.52, +29.333,    -0.1, +1136.0,  -480.0,  +462.0
1651847040, +3.52, +29.349,    -0.2, +1118.0,  -484.0,  +486.0
1651847640, +3.52, +29.365,    -0.3, +1134.0,  -480.0,  +464.0
1651848240, +3.52, +29.357,    -0.1, +1121.0,  -484.0,  +486.0
1651848840, +3.52, +29.341,    +0.0, +1127.0,  -484.0,  +480.0
1651849440, +3.52, +29.333,    -0.5, +1132.0,  -480.0,  +476.0
1651850040, +3.52, +29.333,    -0.0, +1129.0,  -480.0,  +472.0
1651850640, +3.52, +29.333,    -0.4, +1129.0,  -480.0,  +472.0
1651851240, +3.52, +29.341,    -0.3, +1129.0,  -482.0,  +476.0
1651851840, +3.52, +29.333,    -0.4, +1116.0,  -484.0,  +492.0
1651852440, +3.52, +29.333,    +0.0, +1136.0,  -480.0,  +463.0
1651853040, +3.52, +29.325,    -0.2, +1120.0,  -484.0,  +487.0
1651853640, +3.52, +29.341,    -0.1, +1128.0,  -480.0,  +476.0
1651854240, +3.52, +29.341,    -0.2, +1116.0,  -484.0,  +492.0
1651854840, +3.52, +29.325,    -0.2, +1128.0,  -480.0,  +472.0
1651855440, +3.52, +29.325,    -0.0, +1132.0,  -480.0,  +470.0
1651856040, +3.52, +29.333,    -0.4, +1139.0,  -480.0,  +460.0
1651856640, +3.52, +29.308,    -0.1, +1120.0,  -484.0,  +486.0
1651857240, +3.52, +29.308,    -0.1, +1144.0,  -476.0,  +448.0
1651857840, +3.52, +29.300,    +0.3, +1120.0,  -484.0,  +488.0
1651858440, +3.52, +29.308,    +2.9, +1139.0,  -473.0,  +455.0
1651859040, +3.52, +29.300,    +8.3, +1152.0,  -476.0,  +438.0
1651859640, +3.52, +29.292,   +15.8, +1144.0,  -476.0,  +440.0
1651860240, +3.52, +29.292,   +25.3, +1145.0,  -474.0,  +444.0
1651860840, +3.52, +29.292,   +35.4, +1142.0,  -476.0,  +450.0
1651861440, +3.52, +29.300,   +50.0, +1148.0,  -477.0,  +440.0
