7530-470610
OS REV: 1.05 Sensor Cal: 1611734400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1687151340, +3.48, +28.386,  +0.08922, +1233.000, +92.000, +470.000
1687151940, +3.48, +28.361,  +0.05237, +1240.000, +96.000, +464.000
1687152540, +3.48, +28.312,  -0.02921, +1244.000, +99.000, +456.000
1687153140, +3.48, +28.271,  +0.08132, +1232.000, +96.000, +467.000
1687153740, +3.48, +28.255,  -0.07395, +1246.000, +100.000, +456.000
1687154340, +3.48, +28.279,  -0.04500, +1240.000, +96.000, +464.000
1687154940, +3.48, +28.304,  -0.00290, +1251.000, +104.000, +448.000
1687155540, +3.48, +28.345,  -0.01079, +1222.000, +89.000, +480.000
1687156140, +3.48, +28.361,  +0.01816, +1239.000, +96.000, +460.000
1687156740, +3.48, +28.296,  -0.05027, +1238.000, +96.000, +464.000
1687157340, +3.48, +28.148,  -0.06606, +1251.000, +102.000, +448.000
1687157940, +3.48, +28.140,  -0.00290, +1254.000, +102.000, +448.000
1687158540, +3.48, +28.238,  -0.05816, +1248.000, +100.000, +454.000
1687159140, +3.48, +28.378,  +0.03921, +1251.000, +104.000, +448.000
1687159740, +3.48, +28.460,  +0.01553, +1206.000, +80.000, +486.000
1687160340, +3.48, +28.492,  +0.00500, +1192.000, +76.000, +488.000
1687160940, +3.48, +28.533,  -0.00026, +1196.000, +76.000, +491.000
1687161540, +3.48, +28.525,  +0.00763, +1287.000, +103.000, +351.000
1687162140, +3.48, +28.509,  +0.04185, +1216.000, +88.000, +480.000
1687162740, +3.48, +28.533,  +0.03395, +1192.000, +76.000, +488.000
1687163340, +3.48, +28.550,  +0.01026, +1241.000, +99.000, +462.000
1687163940, +3.48, +28.566,  +0.02869, +1276.000, +116.000, +412.000
1687164540, +3.48, +28.582,  -0.00553, +1263.000, +108.000, +432.000
1687165140, +3.48, +28.615,  +0.00237, +1212.000, +83.000, +483.000
