Date	Time_HH:MM:SS	Time_sec	Ch1_O2_09|T2_29.5A	Ch2_O2_13|T2_29.5A	Ch3_O2_14|T2_29.5A	Ch4_O2_15|T2_29.5A	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/28/2019	07:18:02	310.14	3.9996	4.1498	4.1541	4.2350	27.000	27.000	27.000	27.000
1/28/2019	07:18:04	311.80	3.9995	4.1510	4.1548	4.2337	27.000	27.000	27.000	27.000
1/28/2019	07:18:06	314.12	4.0011	4.1521	4.1554	4.2315	27.000	27.000	27.000	27.000
1/28/2019	07:18:08	315.61	4.0030	4.1512	4.1543	4.2324	27.000	27.000	27.000	27.000
1/28/2019	07:18:09	316.94	4.0030	4.1521	4.1526	4.2328	27.000	27.000	27.000	27.000
1/28/2019	07:18:11	318.64	4.0024	4.1533	4.1487	4.2333	27.000	27.000	27.000	27.000
1/28/2019	07:18:12	320.17	4.0010	4.1542	4.1494	4.2315	27.000	27.000	27.000	27.000
1/28/2019	07:18:14	321.67	3.9997	4.1528	4.1511	4.2324	27.000	27.000	27.000	27.000
1/28/2019	07:18:16	323.59	3.9990	4.1519	4.1539	4.2318	27.000	27.000	27.000	27.000
1/28/2019	07:18:17	325.09	3.9985	4.1498	4.1538	4.2336	27.000	27.000	27.000	27.000
1/28/2019	07:18:19	326.64	3.9982	4.1512	4.1506	4.2347	27.000	27.000	27.000	27.000
1/28/2019	07:18:20	328.50	3.9972	4.1507	4.1486	4.2372	27.000	27.000	27.000	27.000
1/28/2019	07:18:22	330.19	3.9975	4.1514	4.1500	4.2383	27.000	27.000	27.000	27.000
1/28/2019	07:18:24	331.70	3.9990	4.1508	4.1514	4.2383	27.000	27.000	27.000	27.000
1/28/2019	07:18:26	333.55	3.9993	4.1507	4.1519	4.2372	27.000	27.000	27.000	27.000
1/28/2019	07:18:27	335.03	3.9984	4.1502	4.1499	4.2353	27.000	27.000	27.000	27.000
1/28/2019	07:18:29	336.97	3.9975	4.1506	4.1497	4.2360	27.000	27.000	27.000	27.000
1/28/2019	07:18:30	338.52	3.9968	4.1516	4.1484	4.2376	27.000	27.000	27.000	27.000
1/28/2019	07:18:32	340.06	3.9951	4.1523	4.1480	4.2403	27.000	27.000	27.000	27.000
1/28/2019	07:18:34	341.80	3.9931	4.1502	4.1473	4.2389	27.000	27.000	27.000	27.000
1/28/2019	07:18:35	343.28	3.9940	4.1500	4.1482	4.2361	27.000	27.000	27.000	27.000
1/28/2019	07:18:37	344.83	3.9951	4.1498	4.1500	4.2343	27.000	27.000	27.000	27.000
1/28/2019	07:18:39	346.75	3.9957	4.1506	4.1514	4.2333	27.000	27.000	27.000	27.000
1/28/2019	07:18:40	348.16	3.9944	4.1503	4.1527	4.2344	27.000	27.000	27.000	27.000
1/28/2019	07:18:42	349.70	3.9943	4.1506	4.1523	4.2342	27.000	27.000	27.000	27.000
1/28/2019	07:18:44	351.61	3.9923	4.1493	4.1519	4.2357	27.000	27.000	27.000	27.000
1/28/2019	07:18:45	353.17	3.9911	4.1481	4.1496	4.2357	27.000	27.000	27.000	27.000
1/28/2019	07:18:47	355.02	3.9900	4.1477	4.1490	4.2368	27.000	27.000	27.000	27.000
1/28/2019	07:18:49	356.77	3.9894	4.1474	4.1467	4.2365	27.000	27.000	27.000	27.000
1/28/2019	07:18:50	358.25	3.9887	4.1486	4.1478	4.2364	27.000	27.000	27.000	27.000
1/28/2019	07:18:52	359.86	3.9891	4.1483	4.1465	4.2351	27.000	27.000	27.000	27.000
1/28/2019	07:18:54	361.73	3.9893	4.1483	4.1477	4.2357	27.000	27.000	27.000	27.000
1/28/2019	07:18:55	363.14	3.9933	4.1473	4.1452	4.2354	27.000	27.000	27.000	27.000
1/28/2019	07:18:57	364.78	3.9938	4.1472	4.1462	4.2354	27.000	27.000	27.000	27.000
1/28/2019	07:18:59	366.53	3.9964	4.1484	4.1474	4.2356	27.000	27.000	27.000	27.000
1/28/2019	07:19:00	368.09	3.9914	4.1477	4.1497	4.2347	27.000	27.000	27.000	27.000
1/28/2019	07:19:02	369.67	3.9907	4.1510	4.1479	4.2336	27.000	27.000	27.000	27.000
1/28/2019	07:19:03	371.42	3.9885	4.1507	4.1481	4.2340	27.000	27.000	27.000	27.000
1/28/2019	07:19:05	373.00	3.9897	4.1533	4.1487	4.2376	27.000	27.000	27.000	27.000
1/28/2019	07:19:07	374.53	3.9893	4.1511	4.1505	4.2426	27.000	27.000	27.000	27.000
1/28/2019	07:19:08	376.36	3.9886	4.1515	4.1488	4.2433	27.000	27.000	27.000	27.000
1/28/2019	07:19:10	377.92	3.9860	4.1488	4.1477	4.2430	27.000	27.000	27.000	27.000
1/28/2019	07:19:12	379.70	3.9847	4.1472	4.1462	4.2400	27.000	27.000	27.000	27.000
1/28/2019	07:19:13	381.31	3.9870	4.1476	4.1468	4.2396	27.000	27.000	27.000	27.000
1/28/2019	07:19:15	382.84	3.9896	4.1470	4.1475	4.2376	27.000	27.000	27.000	27.000
1/28/2019	07:19:16	384.36	3.9894	4.1468	4.1481	4.2394	27.000	27.000	27.000	27.000
1/28/2019	07:19:18	386.11	3.9893	4.1459	4.1468	4.2390	27.000	27.000	27.000	27.000
1/28/2019	07:19:20	387.55	3.9880	4.1467	4.1471	4.2397	27.000	27.000	27.000	27.000
1/28/2019	07:19:22	389.53	3.9889	4.1476	4.1458	4.2378	27.000	27.000	27.000	27.000
1/28/2019	07:19:23	391.19	3.9879	4.1484	4.1463	4.2374	27.000	27.000	27.000	27.000
1/28/2019	07:19:25	392.69	3.9883	4.1498	4.1454	4.2383	27.000	27.000	27.000	27.000
1/28/2019	07:19:27	394.62	3.9882	4.1509	4.1457	4.2397	27.000	27.000	27.000	27.000
1/28/2019	07:19:28	396.25	3.9847	4.1491	4.1438	4.2422	27.000	27.000	27.000	27.000
1/28/2019	07:19:30	397.77	3.9837	4.1478	4.1421	4.2422	27.000	27.000	27.000	27.000
1/28/2019	07:19:31	399.44	3.9849	4.1464	4.1423	4.2428	27.000	27.000	27.000	27.000
1/28/2019	07:19:33	400.73	3.9883	4.1477	4.1426	4.2400	27.000	27.000	27.000	27.000
1/28/2019	07:19:34	402.30	3.9873	4.1482	4.1423	4.2394	27.000	27.000	27.000	27.000
1/28/2019	07:19:36	404.09	3.9857	4.1486	4.1392	4.2380	27.000	27.000	27.000	27.000
1/28/2019	07:19:38	405.58	3.9853	4.1476	4.1395	4.2399	27.000	27.000	27.000	27.000
1/28/2019	07:19:39	407.09	3.9872	4.1453	4.1386	4.2401	27.000	27.000	27.000	27.000
1/28/2019	07:19:41	409.02	3.9863	4.1459	4.1382	4.2431	27.000	27.000	27.000	27.000
1/28/2019	07:19:43	410.66	3.9850	4.1469	4.1385	4.2450	27.000	27.000	27.000	27.000
1/28/2019	07:19:44	412.28	3.9850	4.1471	4.1373	4.2468	27.000	27.000	27.000	27.000
