epoch,sensor,link,log type,data,SST
1739685823.79,2,DATA,SOFT2,663,2860
1739685824.17,1,DATA,SOFT2,1154,2859
1739685824.20,3,DATA,SOFT2,1124,2691
1739685824.29,2,DATA,SOFT2,1163,2861
1739685824.67,1,DATA,SOFT2,1654,2860
1739685824.70,3,DATA,SOFT2,1624,2690
1739685824.79,2,DATA,SOFT2,1663,2861
1739685825.17,1,DATA,SOFT2,2154,2860
1739685825.20,3,DATA,SOFT2,2124,2690
1739685825.29,2,DATA,SOFT2,2163,2860
1739685825.67,1,DATA,SOFT2,2654,2860
1739685825.70,3,DATA,SOFT2,2624,2691
1739685825.78,2,DATA,SOFT2,2663,2861
1739685883.58,2,DATA,SOFT2,532,2859
1739685883.67,1,DATA,SOFT2,659,2856
1739685883.71,3,DATA,SOFT2,636,2692
1739685884.08,2,DATA,SOFT2,1032,2859
1739685884.17,1,DATA,SOFT2,1159,2857
1739685884.21,3,DATA,SOFT2,1136,2692
1739685884.58,2,DATA,SOFT2,1532,2859
1739685884.67,1,DATA,SOFT2,1659,2857
1739685884.71,3,DATA,SOFT2,1636,2693
1739685885.08,2,DATA,SOFT2,2032,2859
1739685885.17,1,DATA,SOFT2,2159,2857
1739685885.21,3,DATA,SOFT2,2136,2693
1739685885.58,2,DATA,SOFT2,2532,2859
1739685885.67,1,DATA,SOFT2,2659,2857
1739685885.71,3,DATA,SOFT2,2636,2692
1739685943.54,1,DATA,SOFT2,521,2852
1739685943.70,2,DATA,SOFT2,653,2858
1739685943.74,3,DATA,SOFT2,651,2695
1739685944.04,1,DATA,SOFT2,1021,2852
1739685944.20,2,DATA,SOFT2,1153,2858
1739685944.23,3,DATA,SOFT2,1151,2695
1739685944.54,1,DATA,SOFT2,1521,2852
1739685944.70,2,DATA,SOFT2,1653,2858
1739685944.73,3,DATA,SOFT2,1651,2695
1739685945.04,1,DATA,SOFT2,2021,2852
1739685945.20,2,DATA,SOFT2,2153,2859
1739685945.23,3,DATA,SOFT2,2151,2695
1739685945.54,1,DATA,SOFT2,2521,2852
1739685945.70,2,DATA,SOFT2,2653,2859
1739685945.73,3,DATA,SOFT2,2651,2695
1739686003.62,1,DATA,SOFT2,603,2850
1739686003.68,2,DATA,SOFT2,626,2855
1739686003.71,3,DATA,SOFT2,633,2697
1739686004.12,1,DATA,SOFT2,1103,2850
1739686004.18,2,DATA,SOFT2,1126,2855
1739686004.21,3,DATA,SOFT2,1133,2697
1739686004.62,1,DATA,SOFT2,1603,2850
1739686004.68,2,DATA,SOFT2,1626,2855
1739686004.71,3,DATA,SOFT2,1633,2697
1739686005.12,1,DATA,SOFT2,2103,2850
1739686005.17,2,DATA,SOFT2,2126,2855
1739686005.21,3,DATA,SOFT2,2133,2697
1739686005.62,1,DATA,SOFT2,2603,2850
1739686005.67,2,DATA,SOFT2,2626,2855
1739686005.71,3,DATA,SOFT2,2633,2697
1739686063.67,1,DATA,SOFT2,644,2844
1739686063.71,2,DATA,SOFT2,616,2853
1739686063.74,3,DATA,SOFT2,662,2699
1739686064.17,1,DATA,SOFT2,1144,2844
1739686064.21,2,DATA,SOFT2,1116,2853
1739686064.24,3,DATA,SOFT2,1162,2699
1739686064.67,1,DATA,SOFT2,1644,2843
1739686064.71,2,DATA,SOFT2,1616,2853
1739686064.74,3,DATA,SOFT2,1662,2700
1739686065.17,1,DATA,SOFT2,2144,2844
