GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1739703541,-14,-2067153,-170,-4414505
1739703601,-14,-2067373,-170,-4414567
1739703661,-14,-2067457,-170,-4414509
1739703721,-14,-2067333,-170,-4414450
1739703781,-14,-2067250,-170,-4414453
1739703841,-14,-2067269,-170,-4414546
1739703901,-14,-2067232,-170,-4414491
1739703961,-14,-2067197,-170,-4414430
1739704021,-14,-2067365,-170,-4414450
1739704081,-14,-2067223,-170,-4414512
1739704141,-14,-2067424,-170,-4414420
1739704201,-14,-2067219,-170,-4414351
1739704261,-14,-2067187,-170,-4414428
1739704321,-14,-2067441,-170,-4414376
1739704381,-14,-2067114,-170,-4414273
1739704441,-14,-2066843,-170,-4414337
1739704501,-14,-2066829,-170,-4414274
1739704561,-14,-2067223,-170,-4414196
1739704621,-14,-2067091,-170,-4414254
1739704681,-14,-2066967,-170,-4414272
1739704741,-14,-2066980,-170,-4414171
1739704801,-14,-2066732,-170,-4414267
1739704861,-14,-2066837,-170,-4414276
1739704921,-14,-2066810,-170,-4414196
1739704981,-14,-2066893,-170,-4414148
1739705041,-14,-2066692,-170,-4414215
1739705101,-14,-2066842,-170,-4414172
1739705161,-14,-2066870,-170,-4414179
1739705221,-14,-2066692,-170,-4414235
1739705281,-14,-2066775,-170,-4414232
1739705341,-14,-2066946,-170,-4414082
1739705401,-14,-2066820,-170,-4414158
1739705461,-14,-2066784,-170,-4414280
1739705521,-14,-2066899,-170,-4414132
1739705581,-14,-2066907,-170,-4414059
1739705641,-14,-2066851,-170,-4414137
1739705701,-14,-2066897,-170,-4414099
1739705761,-14,-2066997,-170,-4414032
1739705821,-14,-2066824,-170,-4414148
1739705881,-14,-2066697,-170,-4414141
1739705941,-14,-2066761,-170,-4414199
1739706001,-14,-2066740,-170,-4414141
1739706061,-14,-2066805,-170,-4414007
1739706121,-14,-2066761,-170,-4414144
1739706181,-14,-2066580,-170,-4414125
1739706241,-14,-2066848,-170,-4414143
1739706301,-14,-2066852,-170,-4414030
1739706361,-14,-2066896,-170,-4414171
1739706421,-14,-2066951,-170,-4414181
1739706481,-14,-2066835,-170,-4414114
1739706541,-14,-2066740,-170,-4414163
1739706601,-14,-2066755,-170,-4414141
1739706661,-14,-2066492,-170,-4414110
1739706721,-14,-2066580,-170,-4414107
1739706781,-14,-2066719,-170,-4414027
1739706841,-14,-2066897,-170,-4414073
1739706901,-14,-2067018,-170,-4414079
1739706961,-14,-2067131,-170,-4414085
1739707021,-14,-2067201,-170,-4413995
1739707081,-14,-2067107,-170,-4414006
1739707141,-14,-2067196,-170,-4414046
1739707201,-14,-2067217,-170,-4414025
1739707261,-14,-2067172,-170,-4414081
1739707321,-14,-2067006,-170,-4414071
1739707381,-14,-2067213,-170,-4414108
1739707441,-14,-2066940,-170,-4414052
1739707501,-14,-2066807,-170,-4414057
1739707561,-14,-2066803,-170,-4414043
1739707621,-14,-2066739,-170,-4414014
1739707681,-14,-2066957,-170,-4414081
1739707741,-14,-2066938,-170,-4414080
1739707801,-14,-2066814,-170,-4414128
1739707861,-14,-2066716,-170,-4414057
1739707921,-14,-2067031,-170,-4414077
1739707981,-14,-2066949,-170,-4414153
1739708041,-14,-2066765,-170,-4414142
1739708101,-14,-2067105,-170,-4414162
1739708161,-14,-2066773,-170,-4414057
1739708221,-14,-2066789,-170,-4414032
1739708281,-14,-2066923,-170,-4414062
1739708341,-14,-2066929,-170,-4414029
1739708401,-14,-2066817,-170,-4413988
1739708461,-14,-2066827,-170,-4413986
1739708521,-14,-2066819,-170,-4414042
1739708581,-14,-2066824,-170,-4413988
1739708641,-14,-2066825,-170,-4413991
1739708701,-14,-2066929,-170,-4414001
1739708761,-14,-2066944,-170,-4414006
1739708821,-14,-2067076,-170,-4414022
1739708881,-14,-2066914,-170,-4413982
1739708941,-14,-2066993,-170,-4414064
1739709001,-14,-2067111,-170,-4414040
1739709061,-14,-2066969,-170,-4414037
1739709121,-14,-2066989,-170,-4414082
1739709181,-14,-2067042,-170,-4414057
1739709241,-14,-2067092,-170,-4414078
1739709301,-14,-2066937,-170,-4413978
1739709361,-14,-2067004,-170,-4413963
1739709421,-14,-2067104,-170,-4413943
1739709481,-14,-2066762,-170,-4413919
1739709541,-14,-2066739,-170,-4413936
1739709601,-14,-2066742,-170,-4413962
1739709661,-14,-2066848,-170,-4413956
1739709721,-14,-2067014,-170,-4414029
1739709781,-14,-2066794,-170,-4413977
1739709841,-14,-2066951,-170,-4414104
1739709901,-14,-2066805,-170,-4413974
1739709961,-14,-2066995,-170,-4414000
1739710021,-14,-2067149,-170,-4414107
1739710081,-14,-2066958,-170,-4414049
1739710141,-14,-2066863,-170,-4413986
1739710201,-14,-2067047,-170,-4413991
1739710261,-14,-2067087,-170,-4414022
1739710321,-14,-2067046,-170,-4414047
1739710381,-14,-2067060,-170,-4414037
1739710441,-14,-2067007,-170,-4414080
1739710501,-14,-2067073,-170,-4414085
1739710561,-14,-2066948,-170,-4414063
1739710621,-14,-2067139,-170,-4414118
1739710681,-14,-2067068,-170,-4414093
1739710741,-14,-2066979,-170,-4414122
1739710801,-14,-2067002,-170,-4414073
1739710861,-14,-2066916,-170,-4414081
1739710921,-14,-2066634,-170,-4414062
1739710981,-14,-2066926,-170,-4414062
1739711041,-14,-2066895,-170,-4414038
1739711101,-14,-2066904,-170,-4414070
1739711161,-14,-2066660,-170,-4414058
1739711221,-14,-2066662,-170,-4414013
1739711281,-14,-2066697,-170,-4414043
1739711341,-14,-2066735,-170,-4414089
1739711401,-14,-2066774,-170,-4414061
1739711461,-14,-2066799,-170,-4414041
1739711521,-14,-2066866,-170,-4414060
1739711581,-14,-2066763,-170,-4414085
1739711641,-14,-2066840,-170,-4414072
1739711701,-14,-2066775,-170,-4414062
1739711761,-14,-2066769,-170,-4414011
1739711821,-14,-2066814,-170,-4414032
1739711881,-14,-2066743,-170,-4414050
1739711941,-14,-2066862,-170,-4414048
1739712001,-14,-2066667,-170,-4413966
1739712061,-14,-2066515,-170,-4413897
1739712121,-14,-2066611,-170,-4413990
1739712181,-14,-2066693,-170,-4414018
1739712241,-14,-2066904,-170,-4414076
1739712301,-14,-2066797,-170,-4414028
1739712361,-14,-2066792,-170,-4414040
1739712421,-14,-2066773,-170,-4414116
1739712481,-14,-2066815,-170,-4414019
1739712541,-14,-2066821,-170,-4413981
1739712601,-14,-2066885,-170,-4414053
1739712661,-14,-2066838,-170,-4414071
1739712721,-14,-2066758,-170,-4414109
1739712781,-14,-2066759,-170,-4414153
1739712841,-14,-2066950,-170,-4414185
1739712901,-14,-2066827,-170,-4414149
1739712961,-14,-2066779,-170,-4414109
1739713021,-14,-2066753,-170,-4414138
1739713081,-14,-2066619,-170,-4414140
1739713141,-14,-2066842,-170,-4414186
1739713201,-14,-2067007,-170,-4414217
1739713261,-14,-2067059,-170,-4414187
1739713321,-14,-2067158,-170,-4414219
1739713381,-14,-2066997,-170,-4414132
1739713441,-14,-2066901,-170,-4414120
1739713501,-14,-2066804,-170,-4414147
1739713561,-14,-2066919,-170,-4414171
1739713621,-14,-2067198,-170,-4414112
1739713681,-14,-2067193,-170,-4414075
1739713741,-14,-2067090,-170,-4414131
1739713801,-14,-2067084,-170,-4414148
1739713861,-14,-2066952,-170,-4414146
1739713921,-14,-2066908,-170,-4414179
1739713981,-14,-2066900,-170,-4414078
1739714041,-14,-2067014,-170,-4414160
1739714101,-14,-2067066,-170,-4414108
1739714161,-14,-2067170,-170,-4414256
1739714221,-14,-2066973,-170,-4414226
1739714281,-14,-2066895,-170,-4414071
1739714341,-14,-2066914,-170,-4414099
1739714401,-14,-2067171,-170,-4414035
1739714461,-14,-2066861,-170,-4414105
1739714521,-14,-2066951,-170,-4414138
1739714581,-14,-2066995,-170,-4414183
1739714641,-14,-2067439,-170,-4414143
1739714701,-14,-2067400,-170,-4414259
1739714761,-14,-2067373,-170,-4414089
1739714821,-14,-2067253,-170,-4414139
1739714881,-14,-2067294,-170,-4414054
1739714941,-14,-2067177,-170,-4414148
1739715001,-14,-2067182,-170,-4413973
1739715061,-14,-2067110,-170,-4413993
1739715121,-14,-2067099,-170,-4413971
1739715181,-14,-2067264,-170,-4414106
1739715241,-14,-2067372,-170,-4414163
1739715301,-14,-2067056,-170,-4414105
1739715361,-14,-2067422,-170,-4414221
1739715421,-14,-2067374,-170,-4414221
1739715481,-14,-2067234,-170,-4414049
1739715541,-14,-2067498,-170,-4414065
1739715601,-14,-2067309,-170,-4414031
1739715661,-14,-2067283,-170,-4413995
1739715721,-14,-2067171,-170,-4414114
1739715781,-14,-2067122,-170,-4414022
1739715841,-14,-2067139,-170,-4413966
1739715901,-14,-2067009,-170,-4413886
1739715961,-14,-2066969,-170,-4413850
1739716021,-14,-2067009,-170,-4413879
1739716081,-14,-2067170,-170,-4413879
1739716141,-14,-2066938,-170,-4413837
1739716201,-14,-2067106,-170,-4413896
1739716261,-14,-2066734,-170,-4413869
1739716321,-14,-2066843,-170,-4413995
1739716381,-14,-2066777,-170,-4414118
1739716441,-14,-2066984,-170,-4414024
1739716501,-14,-2066892,-170,-4414326
1739716561,-14,-2066901,-170,-4414111
1739716621,-14,-2066962,-170,-4414290
1739716681,-14,-2066899,-170,-4414132
1739716741,-14,-2066628,-170,-4414298
1739716801,-14,-2066785,-170,-4414137
1739716861,-14,-2066973,-170,-4414454
1739716921,-14,-2067054,-170,-4414313
1739716981,-14,-2066844,-170,-4414158
1739717041,-14,-2066637,-170,-4414138
1739717101,-14,-2066654,-170,-4414154
1739717161,-14,-2066588,-170,-4414091
1739717221,-14,-2066517,-170,-4414203
1739717281,-14,-2066761,-170,-4414263
1739717341,-14,-2066864,-170,-4414328
1739717401,-14,-2066917,-170,-4414339
1739717461,-14,-2067027,-170,-4414379
1739717521,-14,-2066947,-170,-4414274
1739717581,-14,-2066814,-170,-4414132
1739717641,-14,-2066972,-170,-4414124
1739717701,-14,-2066857,-170,-4414162
1739717761,-14,-2066791,-170,-4414257
1739717821,-14,-2066589,-170,-4414303
1739717881,-14,-2066548,-170,-4414256
1739717941,-14,-2066771,-170,-4414176
1739718001,-14,-2066819,-170,-4414209
1739718061,-14,-2066612,-170,-4414175
1739718121,-14,-2066641,-170,-4414041
1739718181,-14,-2066821,-170,-4413937
1739718241,-14,-2066752,-170,-4414198
1739718301,-14,-2066894,-170,-4414134
1739718361,-14,-2066891,-170,-4414044
1739718421,-14,-2066512,-170,-4413980
1739718481,-14,-2066656,-170,-4414041
1739718541,-14,-2066697,-170,-4414046
1739718601,-14,-2066805,-170,-4414100
1739718661,-14,-2066718,-170,-4414181
1739718721,-14,-2066647,-170,-4414186
1739718781,-14,-2066728,-170,-4414110
1739718841,-14,-2066591,-170,-4414184
1739718901,-14,-2066778,-170,-4414027
1739718961,-14,-2066764,-170,-4414114
1739719021,-14,-2066718,-170,-4414119
1739719081,-14,-2066722,-170,-4414073
1739719141,-14,-2066669,-170,-4414167
1739719201,-14,-2066674,-170,-4414212
1739719261,-14,-2066696,-170,-4414217
1739719321,-14,-2066578,-170,-4414176
1739719381,-14,-2066593,-170,-4414131
