epoch,link,log type,data
0,0,BSYS,4,INFO,Firmware SHA: 526A32BB
0.00,3,DATA,SOFT2,47554,2660
0.00,2,DATA,SOFT2,47622,2875
0.00,1,DATA,SOFT2,48021,2884
0.00,3,DATA,SOFT2,48054,2660
0.00,2,DATA,SOFT2,48122,2874
0.00,1,DATA,SOFT2,48521,2884
0.00,3,DATA,SOFT2,48554,2660
0.00,2,DATA,SOFT2,48622,2875
0.00,1,DATA,SOFT2,49021,2884
0.00,3,DATA,SOFT2,49054,2660
0.00,2,DATA,SOFT2,49122,2874
0.00,1,DATA,SOFT2,49521,2884
0.00,3,DATA,SOFT2,49554,2660
0.00,2,DATA,SOFT2,49622,2875
0.00,1,DATA,SOFT2,50021,2885
0.00,3,DATA,SOFT2,50054,2660
0.00,2,DATA,SOFT2,50122,2875
0.00,1,DATA,SOFT2,50521,2884
0.00,3,DATA,SOFT2,50554,2660
0.00,2,DATA,SOFT2,50622,2874
0.00,1,DATA,SOFT2,51021,2884
0.00,3,DATA,SOFT2,51054,2660
0.00,2,DATA,SOFT2,51122,2874
0.00,1,DATA,SOFT2,51521,2884
0.00,3,DATA,SOFT2,51554,2660
0.00,2,DATA,SOFT2,51622,2875
0.00,1,DATA,SOFT2,52021,2884
0.00,3,DATA,SOFT2,52054,2660
0.00,2,DATA,SOFT2,52122,2874
0.00,1,DATA,SOFT2,52521,2884
0.00,3,DATA,SOFT2,52554,2660
0.00,2,DATA,SOFT2,52622,2874
0.00,1,DATA,SOFT2,53021,2884
0.00,3,DATA,SOFT2,53054,2660
0.00,2,DATA,SOFT2,53122,2875
0.00,1,DATA,SOFT2,53521,2885
0.00,3,DATA,SOFT2,53554,2660
0.00,2,DATA,SOFT2,53622,2875
0.00,1,DATA,SOFT2,54021,2884
0.00,3,DATA,SOFT2,54054,2660
0.00,2,DATA,SOFT2,54122,2875
0.00,1,DATA,SOFT2,54521,2884
0.00,3,DATA,SOFT2,54554,2660
0.00,2,DATA,SOFT2,54622,2874
0.00,1,DATA,SOFT2,55021,2884
0.00,3,DATA,SOFT2,55054,2660
0.00,2,DATA,SOFT2,55122,2874
0.00,1,DATA,SOFT2,55521,2884
0.00,0,BSYS,57622,INFO,etmark 0
0.00,3,DATA,SOFT2,55554,2660
0.00,2,DATA,SOFT2,55622,2875
0.00,1,DATA,SOFT2,56021,2884
0.00,3,DATA,SOFT2,56054,2661
0.00,2,DATA,SOFT2,56122,2874
0.00,1,DATA,SOFT2,56521,2884
0.00,3,DATA,SOFT2,56554,2661
0.00,2,DATA,SOFT2,56622,2875
0.00,1,DATA,SOFT2,57021,2885
0.00,3,DATA,SOFT2,57054,2661
0.00,2,DATA,SOFT2,57122,2875
0.00,1,DATA,SOFT2,57521,2884
0.00,3,DATA,SOFT2,57554,2661
0.00,2,DATA,SOFT2,57622,2874
0.00,1,DATA,SOFT2,58021,2884
0.00,3,DATA,SOFT2,58054,2660
0.00,2,DATA,SOFT2,58122,2875
0.00,1,DATA,SOFT2,58521,2884
0.00,3,DATA,SOFT2,58554,2661
0.00,2,DATA,SOFT2,58622,2874
0.00,1,DATA,SOFT2,59021,2884
0.00,3,DATA,SOFT2,59054,2661
0.00,2,DATA,SOFT2,59122,2875
0.00,1,DATA,SOFT2,59521,2884
0.00,3,DATA,SOFT2,59554,2661
0.00,2,DATA,SOFT2,59622,2875
