millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
280080,1739684007.40,-111.60,-34.41,20.52,
280482,1739684007.80,-120.51,-49.32,17.03,
280880,1739684008.20,-94.02,-44.17,6.87,
281278,1739684008.60,-87.85,-55.15,12.10,
281680,1739684009.00,-65.79,-46.59,7.21,
282080,1739684009.40,-47.44,-38.58,3.23,
282481,1739684009.80,-64.55,-31.12,-2.63,
282881,1739684010.20,-61.37,-24.23,-4.51,
283283,1739684010.60,-74.06,-17.89,-0.48,
283709,1739684011.00,-82.98,-12.12,1.06,
284086,1739684011.40,-56.39,-6.90,12.18,
284479,1739684011.80,-33.94,13.87,14.63,
284880,1739684012.20,-47.39,14.47,21.68,
285280,1739684012.60,-40.98,-1.14,25.98,
285676,1739684013.00,-50.86,2.77,23.46,
286080,1739684013.40,-57.40,6.16,36.93,
286477,1739684013.80,-44.91,25.12,39.66,
286877,1739684014.20,-49.50,23.98,22.91,
287277,1739684014.60,-51.48,22.78,20.35,
287677,1739684015.00,-51.21,21.53,24.70,
288077,1739684015.40,-79.40,20.23,17.49,
288481,1739684015.80,-99.27,2.80,9.14,
288881,1739684016.20,-96.65,4.96,8.98,
289281,1739684016.60,-75.87,-9.39,3.73,
289678,1739684017.00,-86.35,-4.50,-10.87,
294080,1739684020.40,0.00,0.00,0.00,I
294480,1739684020.80,15.19,279.72,59.88,I
294881,1739684021.20,123.55,481.62,225.40,I
295279,1739684021.60,127.19,714.45,403.89,I
295678,1739684022.00,80.57,784.70,433.81,I
296078,1739684022.40,8.80,689.72,352.25,I
296478,1739684022.80,-49.49,659.79,202.13,I
296876,1739684023.20,-0.93,583.27,68.66,I
297281,1739684023.60,-57.21,371.69,-49.70,I
297679,1739684024.00,-101.57,203.02,-105.20,I
298078,1739684024.40,-72.73,72.71,-152.85,I
298481,1739684024.80,48.24,-8.34,-211.81,I
298878,1739684025.20,17.04,-131.52,-252.46,I
299279,1739684025.60,-137.34,-268.03,-273.69,I
299680,1739684026.00,-161.83,-396.13,-275.88,I
300083,1739684026.40,-130.58,-498.34,-274.91,I
300481,1739684026.80,-87.26,-577.11,-280.00,I
300885,1739684027.20,-50.24,-618.70,-281.40,I
301278,1739684027.60,-34.16,-644.95,-299.07,
301682,1739684028.00,27.42,-625.38,-303.95,
302078,1739684028.40,44.62,-616.94,-302.48,
302480,1739684028.80,58.01,-616.79,-305.30,
