millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
196306,1668627993.80,-146.76,-277.68,235.55, 
196716,1668627994.20,-151.11,-186.42,409.64, 
197124,1668627994.60,-114.34,-172.74,396.84, 
197507,1668627995.00,49.66,-140.85,436.79, 
197914,1668627995.40,185.41,-94.79,465.78, 
198313,1668627995.80,343.80,-86.41,487.39, 
198713,1668627996.20,484.47,-43.90,414.32, 
199124,1668627996.60,510.89,25.21,358.31, 
199514,1668627997.00,477.59,49.87,273.69, 
199905,1668627997.40,443.89,135.76,146.01, 
200308,1668627997.80,378.73,220.55,55.90, 
200714,1668627998.20,288.33,235.38,81.65, 
201123,1668627998.60,322.22,326.66,205.81, 
201512,1668627999.00,375.96,492.08,302.18, 
201902,1668627999.40,395.69,614.46,210.14, 
202311,1668627999.80,548.00,600.56,-26.10, 
202713,1668628000.20,657.82,542.02,-225.62, 
203110,1668628000.60,569.37,366.76,-448.49, 
203499,1668628001.00,421.22,231.49,-557.96, 
203898,1668628001.40,290.15,81.55,-653.04, 
204304,1668628001.80,30.21,21.08,-700.65, 
204703,1668628002.20,-199.07,-31.75,-558.12, 
205101,1668628002.60,-366.62,-93.51,-545.97, 
205510,1668628003.00,-416.43,-243.33,-486.81, 
205907,1668628003.40,-418.57,-329.00,-349.37, 
206307,1668628003.80,-381.96,-361.06,-294.50, 
206706,1668628004.20,-331.58,-432.15,-238.59, 
207095,1668628004.60,-301.23,-449.38,-120.04, 
208111,1668628005.00,-272.02,-406.39,12.55, 
208164,1668628005.40,-197.53,-446.85,108.98, 
208297,1668628005.80,-86.28,-503.59,179.71, 
208701,1668628006.20,-106.89,-505.34,62.84, 
209104,1668628006.60,-202.27,-445.23,51.83, 
209498,1668628007.00,-226.64,-386.15,159.01, 
209899,1668628007.40,-241.49,-312.42,220.05, 
210302,1668628007.80,-184.61,-195.80,186.26, 
210694,1668628008.20,-38.95,-143.39,146.66, 
211091,1668628008.60,-1.17,-62.81,238.04, 
211492,1668628009.00,-16.70,39.76,275.83, 
211902,1668628009.40,34.43,124.80,346.37, 
212297,1668628009.80,-3.30,160.87,358.10, 
212701,1668628010.20,14.55,205.96,430.96, 
213104,1668628010.60,92.69,291.11,472.03, 
213499,1668628011.00,170.05,306.18,402.95, 
213891,1668628011.40,180.57,266.18,379.53, 
