GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1649878117.60,-14,-2197683,-170,-4586673
1649878178.00,-14,-2197739,-170,-4586669
1649878238.40,-14,-2197813,-170,-4586689
1649878298.80,-14,-2197729,-170,-4586695
1649878359.20,-14,-2197727,-170,-4586673
1649878419.60,-14,-2197748,-170,-4586707
1649878479.60,-14,-2197766,-170,-4586687
1649878540.00,-14,-2197791,-170,-4586712
1649878600.40,-14,-2197826,-170,-4586705
1649878660.80,-14,-2197852,-170,-4586720
1649878721.20,-14,-2197845,-170,-4586716
1649878781.60,-14,-2197873,-170,-4586712
1649878842.00,-14,-2197891,-170,-4586742
1649878902.40,-14,-2197941,-170,-4586723
1649878962.80,-14,-2197896,-170,-4586755
1649879023.20,-14,-2197956,-170,-4586761
1649879083.60,-14,-2197946,-170,-4586749
1649879144.00,-14,-2197941,-170,-4586733
1649879204.40,-14,-2197871,-170,-4586764
1649879264.80,-14,-2197845,-170,-4586754
1649879325.20,-14,-2197860,-170,-4586756
1649879385.60,-14,-2197878,-170,-4586753
1649879446.00,-14,-2197880,-170,-4586735
1649879506.40,-14,-2197855,-170,-4586725
1649879566.80,-14,-2197870,-170,-4586783
1649879627.20,-14,-2197830,-170,-4586697
1649879687.60,-14,-2197804,-170,-4586709
1649879748.00,-14,-2197888,-170,-4586669
1649879808.40,-14,-2197811,-170,-4586688
1649879868.80,-14,-2197744,-170,-4586684
1649879929.20,-14,-2197784,-170,-4586661
1649879989.60,-14,-2197785,-170,-4586649
1649880050.00,-14,-2197697,-170,-4586702
1649880110.40,-14,-2197746,-170,-4586668
1649880170.80,-14,-2197766,-170,-4586659
1649880231.20,-14,-2197747,-170,-4586690
1649880291.60,-14,-2197749,-170,-4586677
1649880352.00,-14,-2197732,-170,-4586719
1649880412.40,-14,-2197731,-170,-4586696
1649880472.80,-14,-2197656,-170,-4586700
1649880533.20,-14,-2197662,-170,-4586653
1649880593.60,-14,-2197668,-170,-4586652
1649880654.00,-14,-2197634,-170,-4586661
1649880714.40,-14,-2197639,-170,-4586651
1649880774.80,-14,-2197666,-170,-4586670
1649880835.20,-14,-2197619,-170,-4586663
1649880895.60,-14,-2197582,-170,-4586676
1649880956.00,-14,-2197590,-170,-4586642
1649881016.40,-14,-2197566,-170,-4586637
1649881076.80,-14,-2197568,-170,-4586639
1649881137.20,-14,-2197562,-170,-4586627
1649881197.60,-14,-2197547,-170,-4586605
1649881258.00,-14,-2197540,-170,-4586592
1649881318.40,-14,-2197505,-170,-4586507
1649881378.80,-14,-2197521,-170,-4586499
1649881439.20,-14,-2197514,-170,-4586515
1649881499.60,-14,-2197533,-170,-4586496
1649881560.00,-14,-2197560,-170,-4586528
1649881620.00,-14,-2197598,-170,-4586510
1649881680.80,-14,-2197544,-170,-4586494
1649881741.20,-14,-2197551,-170,-4586461
1649881801.60,-14,-2197518,-170,-4586441
1649881862.00,-14,-2197500,-170,-4586377
1649881922.40,-14,-2197585,-170,-4586366
1649881982.80,-14,-2197484,-170,-4586334
1649882043.20,-14,-2197469,-170,-4586374
1649882103.60,-14,-2197510,-170,-4586292
1649882164.00,-14,-2197473,-170,-4586319
1649882224.40,-14,-2197585,-170,-4586329
1649882284.80,-14,-2197555,-170,-4586343
1649882344.80,-14,-2197581,-170,-4586435
1649882405.60,-14,-2197576,-170,-4586473
1649882466.00,-14,-2197574,-170,-4586473
1649882526.40,-14,-2197542,-170,-4586388
1649882586.80,-14,-2197560,-170,-4586315
1649882647.20,-14,-2197502,-170,-4586256
1649882707.60,-14,-2197531,-170,-4586236
1649882768.00,-14,-2197514,-170,-4586167
