MiniDOT Logger Concatenated Data File
Sensor:             7530-432503
Concatenation Date: 2024Jan27 10:23:01 HST


            Unix Timestamp,               UTC_Date_&_Time,          Hawaii Standard Time,       Battery,   Temperature,           PAR,  Acceleration X,  Acceleration Y,  Acceleration Z
                  (Second),                        (none),                        (none),        (Volt),       (deg C), (umol/(s m^2),             (g),             (g),             (g)
                1674195060,           2023-01-20 06:11:00,           2023-01-19 20:11:00,      3.450000,     27.400000,      0.700000,     1200.000000,        7.000000,      281.000000
                1674195660,           2023-01-20 06:21:00,           2023-01-19 20:21:00,      3.440000,     27.177000,     -0.200000,     1353.000000,        6.000000,      460.000000
                1674196260,           2023-01-20 06:31:00,           2023-01-19 20:31:00,      3.440000,     27.028000,     -0.300000,     1199.000000,        3.000000,      275.000000
                1674196860,           2023-01-20 06:41:00,           2023-01-19 20:41:00,      3.440000,     27.020000,     -0.000000,     1368.000000,       24.000000,      367.000000
                1674197460,           2023-01-20 06:51:00,           2023-01-19 20:51:00,      3.440000,     26.987000,      0.100000,     1382.000000,       29.000000,      401.000000
                1674198060,           2023-01-20 07:01:00,           2023-01-19 21:01:00,      3.440000,     27.020000,      0.100000,     1212.000000,      -80.000000,      390.000000
                1674198660,           2023-01-20 07:11:00,           2023-01-19 21:11:00,      3.440000,     27.136000,     -0.000000,     1377.000000,      -16.000000,      292.000000
                1674199260,           2023-01-20 07:21:00,           2023-01-19 21:21:00,      3.440000,     27.202000,      0.300000,     1356.000000,      -18.000000,      291.000000
                1674199860,           2023-01-20 07:31:00,           2023-01-19 21:31:00,      3.440000,     27.260000,     -0.200000,     1383.000000,      -16.000000,      283.000000
                1674200460,           2023-01-20 07:41:00,           2023-01-19 21:41:00,      3.440000,     27.309000,     -0.400000,     1351.000000,       -5.000000,      182.000000
                1674201060,           2023-01-20 07:51:00,           2023-01-19 21:51:00,      3.440000,     27.367000,     -0.200000,     1208.000000,      -40.000000,      163.000000
                1674201660,           2023-01-20 08:01:00,           2023-01-19 22:01:00,      3.440000,     27.301000,      0.300000,     1212.000000,      -84.000000,      408.000000
                1674202260,           2023-01-20 08:11:00,           2023-01-19 22:11:00,      3.440000,     27.342000,     -0.000000,     1390.000000,       -2.000000,      275.000000
                1674202860,           2023-01-20 08:21:00,           2023-01-19 22:21:00,      3.440000,     27.359000,     -0.200000,     1399.000000,        5.000000,      231.000000
                1674203460,           2023-01-20 08:31:00,           2023-01-19 22:31:00,      3.440000,     27.293000,      0.100000,     1398.000000,       -1.000000,      251.000000
                1674204060,           2023-01-20 08:41:00,           2023-01-19 22:41:00,      3.440000,     27.268000,      0.100000,     1201.000000,      -21.000000,      140.000000
                1674204660,           2023-01-20 08:51:00,           2023-01-19 22:51:00,      3.440000,     27.243000,      0.100000,     1212.000000,      -84.000000,      408.000000
                1674205260,           2023-01-20 09:01:00,           2023-01-19 23:01:00,      3.440000,     27.202000,     -0.300000,     1256.000000,      -72.000000,      404.000000
                1674205860,           2023-01-20 09:11:00,           2023-01-19 23:11:00,      3.440000,     27.177000,      0.100000,     1371.000000,       -5.000000,      192.000000
                1674206460,           2023-01-20 09:21:00,           2023-01-19 23:21:00,      3.440000,     27.161000,      0.000000,     1399.000000,       16.000000,      244.000000
                1674207060,           2023-01-20 09:31:00,           2023-01-19 23:31:00,      3.440000,     27.144000,      0.100000,     1212.000000,       -4.000000,      153.000000
                1674207660,           2023-01-20 09:41:00,           2023-01-19 23:41:00,      3.440000,     27.136000,      0.400000,     1228.000000,      -80.000000,      404.000000
                1674208260,           2023-01-20 09:51:00,           2023-01-19 23:51:00,      3.440000,     27.144000,     -0.200000,     1195.000000,      -33.000000,      151.000000
                1674208860,           2023-01-20 10:01:00,           2023-01-20 00:01:00,      3.440000,     27.111000,      0.000000,     1368.000000,      -13.000000,      270.000000
                1674209460,           2023-01-20 10:11:00,           2023-01-20 00:11:00,      3.440000,     27.119000,     -0.000000,     1260.000000,      -64.000000,      384.000000
                1674210060,           2023-01-20 10:21:00,           2023-01-20 00:21:00,      3.440000,     27.103000,     -0.200000,     1372.000000,        4.000000,      196.000000
                1674210660,           2023-01-20 10:31:00,           2023-01-20 00:31:00,      3.440000,     27.070000,     -0.400000,     1391.000000,        7.000000,      220.000000
                1674211260,           2023-01-20 10:41:00,           2023-01-20 00:41:00,      3.440000,     27.128000,     -0.300000,     1379.000000,        7.000000,      198.000000
                1674211860,           2023-01-20 10:51:00,           2023-01-20 00:51:00,      3.440000,     27.103000,      0.100000,     1377.000000,      -16.000000,      295.000000
                1674212460,           2023-01-20 11:01:00,           2023-01-20 01:01:00,      3.440000,     27.136000,      0.100000,     1368.000000,       -1.000000,      207.000000
                1674213060,           2023-01-20 11:11:00,           2023-01-20 01:11:00,      3.440000,     27.103000,     -0.300000,     1299.000000,      -56.000000,      358.000000
                1674213660,           2023-01-20 11:21:00,           2023-01-20 01:21:00,      3.440000,     27.070000,      0.400000,     1255.000000,      -35.000000,      185.000000
                1674214260,           2023-01-20 11:31:00,           2023-01-20 01:31:00,      3.440000,     26.979000,     -0.200000,     1385.000000,        3.000000,      236.000000
