millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
133764,1739685399.80,-137.46,-165.77,29.80,
134162,1739685400.20,-120.12,-171.46,28.51,
134562,1739685400.60,-119.74,-174.66,28.82,
134962,1739685401.00,-100.61,-175.61,25.88,
135362,1739685401.40,-82.76,-158.41,18.57,
135762,1739685401.80,-66.14,-159.02,20.41,
136162,1739685402.20,-66.82,-157.58,22.35,
136562,1739685402.60,-49.04,-154.33,23.40,
136963,1739685403.00,-32.81,-149.47,20.11,
137365,1739685403.40,-18.06,-127.12,14.26,
137763,1739685403.80,-4.72,-107.13,19.86,
138163,1739685404.20,-8.83,-89.26,17.50,
138563,1739685404.60,5.39,-57.24,18.61,
138964,1739685405.00,17.98,-46.63,3.68,
139365,1739685405.40,29.03,-37.21,-15.79,
139763,1739685405.80,53.81,-28.86,-22.37,
140163,1739685406.20,73.86,-21.48,-22.93,
140563,1739685406.60,74.45,-14.97,-30.25,
140964,1739685407.00,89.76,-9.22,-25.83,
141365,1739685407.40,86.06,-4.16,-12.93,
141764,1739685407.80,97.52,16.37,-13.17,
142162,1739685408.20,105.59,0.63,-20.35,
142565,1739685408.60,110.65,-11.66,-10.58,
142964,1739685409.00,113.06,-4.77,-2.60,
143363,1739685409.40,113.16,-14.78,3.77,
143790,1739685409.80,126.45,-21.98,9.60,
144163,1739685410.20,119.49,-42.79,6.82,
144564,1739685410.60,126.65,-25.71,-7.29,
144964,1739685411.00,129.61,-26.80,-3.38,
145365,1739685411.40,128.95,-10.16,-6.55,
145766,1739685411.80,125.21,-11.78,-9.05,
146164,1739685412.20,103.69,-11.86,1.54,
146564,1739685412.60,83.37,-10.63,1.85,
146965,1739685413.00,64.32,-24.41,-4.31,
147365,1739685413.40,61.74,-33.75,-3.02,
147767,1739685413.80,57.11,-23.15,-2.02,
148165,1739685414.20,50.81,-44.97,1.39,
148565,1739685414.60,43.19,-43.94,4.87,
148965,1739685415.00,34.56,-40.58,19.95,
149366,1739685415.40,10.02,-35.30,22.52,
149765,1739685415.80,-11.63,-28.48,25.71,
150165,1739685416.20,-30.54,-4.40,23.90,
150567,1739685416.60,-46.86,17.02,7.38,
150965,1739685417.00,-60.75,19.79,0.82,
151365,1739685417.40,-72.34,39.77,2.39,
151768,1739685417.80,-81.80,40.95,0.61,
152165,1739685418.20,-89.26,59.21,-8.32,
152565,1739685418.60,-94.88,74.66,-7.57,
152965,1739685419.00,-113.99,71.41,-8.03,
153368,1739685419.40,-113.00,101.44,-11.23,
153767,1739685419.80,-110.97,93.08,-14.75,
154165,1739685420.20,-108.00,102.28,-21.14,
154565,1739685420.60,-119.39,109.18,-26.08,
154965,1739685421.00,-111.52,97.89,-23.48,
155365,1739685421.40,-103.39,88.23,-33.62,
155766,1739685421.80,-110.28,79.98,-37.62,
