millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
120404,1739944788.60,-331.66,-613.17,-71.90,
120804,1739944789.00,-396.98,-780.64,-93.38,
121205,1739944789.40,-447.61,-900.42,-107.94,
121605,1739944789.80,-404.50,-831.22,-119.19,
122004,1739944790.20,-367.13,-775.72,-123.77,
122404,1739944790.60,-334.78,-715.64,-112.02,
122803,1739944791.00,-275.47,-668.65,-96.16,
123204,1739944791.40,-241.99,-616.51,-79.87,
123631,1739944791.80,-246.65,-642.16,-59.86,
124007,1739944792.20,-217.16,-630.74,-35.39,
124405,1739944792.60,-225.02,-622.33,-25.64,
124806,1739944793.00,-198.04,-583.72,-9.95,
125205,1739944793.40,-223.88,-634.63,7.53,
125605,1739944793.80,-210.81,-592.90,32.38,
126005,1739944794.20,-167.44,-509.30,37.56,
126406,1739944794.60,-163.01,-523.79,27.76,
126806,1739944795.00,-238.83,-699.15,25.80,
127205,1739944795.40,-264.43,-801.41,28.38,
127607,1739944795.80,-264.93,-825.73,29.19,
128007,1739944796.20,-309.22,-917.29,32.11,
128405,1739944796.60,-306.77,-944.24,39.34,
128806,1739944797.00,-282.49,-918.32,31.98,
129205,1739944797.40,-272.91,-897.42,30.92,
129606,1739944797.80,-274.86,-879.58,38.49,
130006,1739944798.20,-237.25,-797.89,29.57,
130406,1739944798.60,-216.52,-747.61,33.50,
130807,1739944799.00,-193.25,-689.19,43.17,
131209,1739944799.40,-184.11,-723.39,51.83,
131609,1739944799.80,-169.99,-697.52,63.01,
132007,1739944800.20,-119.62,-622.68,66.98,
132407,1739944800.60,-89.16,-524.95,64.10,
132808,1739944801.00,-91.10,-509.84,61.07,
133215,1739944801.40,-86.51,-510.08,80.24,
133608,1739944801.80,-108.63,-504.42,97.05,
134009,1739944802.20,-70.95,-377.65,102.52,
134408,1739944802.60,92.83,8.17,90.61,
134807,1739944803.00,227.43,298.30,33.58,
135208,1739944803.40,304.37,521.78,-12.90,
135608,1739944803.80,379.66,687.79,-57.97,
136009,1739944804.20,341.75,590.16,-89.28,
136407,1739944804.60,308.26,561.67,-99.84,
136808,1739944805.00,278.72,523.65,-109.49,
137217,1739944805.40,284.88,559.81,-98.39,
137616,1739944805.80,303.13,606.06,-75.21,
138016,1739944806.20,314.28,691.12,-50.77,
138417,1739944806.60,335.22,788.80,-26.64,
138816,1739944807.00,347.06,844.59,-5.90,
139218,1739944807.40,318.74,863.80,15.28,
139617,1739944807.80,322.75,902.36,36.35,
140018,1739944808.20,303.89,905.39,45.25,
140417,1739944808.60,314.03,943.10,59.32,
140817,1739944809.00,315.46,958.36,48.59,
141217,1739944809.40,309.42,937.92,42.26,
141618,1739944809.80,297.02,904.08,43.10,
142020,1739944810.20,264.11,826.75,38.01,
142423,1739944810.60,230.20,730.15,43.41,
142820,1739944811.00,195.78,635.99,48.11,
143219,1739944811.40,145.24,577.82,59.22,
143644,1739944811.80,114.69,499.61,65.32,
144018,1739944812.20,84.45,405.20,75.22,
144418,1739944812.60,85.25,414.30,73.54,
144816,1739944813.00,33.81,275.70,60.69,
145219,1739944813.40,3.96,185.41,62.31,
145618,1739944813.80,-8.97,151.32,60.17,
146018,1739944814.20,-70.75,-34.09,50.51,
146419,1739944814.60,-139.14,-189.68,32.22,
146820,1739944815.00,-211.31,-368.12,14.48,
147219,1739944815.40,-252.64,-493.85,3.77,
147620,1739944815.80,-268.12,-558.11,-4.71,
148018,1739944816.20,-246.18,-538.98,-3.19,
148419,1739944816.60,-226.60,-551.15,0.93,
148820,1739944817.00,-273.43,-636.69,15.04,
149219,1739944817.40,-307.85,-679.33,27.89,
149618,1739944817.80,-315.13,-686.70,36.69,
150017,1739944818.20,-300.08,-647.78,50.92,
150420,1739944818.60,-267.03,-555.62,64.61,
150820,1739944819.00,-235.98,-454.13,66.73,
151221,1739944819.40,-175.55,-314.49,62.08,
151620,1739944819.80,-171.24,-245.05,53.74,
152020,1739944820.20,-148.29,-167.75,41.60,
152419,1739944820.60,-126.72,-101.58,21.20,
152820,1739944821.00,-122.59,-78.61,10.61,
153221,1739944821.40,-116.22,-106.67,-1.79,
153620,1739944821.80,-75.80,-43.49,-5.60,
154020,1739944822.20,-57.03,-6.64,-15.90,
154424,1739944822.60,-8.51,73.62,-21.38,
154822,1739944823.00,16.45,121.73,-32.75,
155219,1739944823.40,52.41,159.02,-40.55,
155620,1739944823.80,66.04,218.85,-59.63,
156025,1739944824.20,76.63,230.89,-73.90,
156421,1739944824.60,99.70,300.59,-92.01,
156820,1739944825.00,101.83,285.96,-123.45,
157219,1739944825.40,132.59,300.15,-150.48,
157620,1739944825.80,124.76,239.32,-169.65,
158020,1739944826.20,131.58,217.58,-180.11,
158421,1739944826.60,149.86,210.33,-183.13,
158822,1739944827.00,161.56,214.53,-184.33,
159220,1739944827.40,183.61,293.59,-188.27,
159623,1739944827.80,197.16,250.03,-204.77,
160024,1739944828.20,172.05,140.81,-206.55,
160421,1739944828.60,116.24,14.04,-193.49,
160823,1739944829.00,99.34,-74.18,-172.97,
161222,1739944829.40,97.78,-97.44,-151.08,
161622,1739944829.80,46.71,-166.35,-130.06,
162022,1739944830.20,34.69,-188.04,-106.39,
162421,1739944830.60,54.14,-171.22,-72.81,
162821,1739944831.00,67.03,-92.40,-56.85,
163225,1739944831.40,74.26,-12.83,-48.94,
163649,1739944831.80,30.18,-115.79,-43.93,
164026,1739944832.20,119.18,81.35,-45.68,
164426,1739944832.60,153.72,168.93,-71.43,
164813,1739944833.00,127.50,85.20,-87.10,
165213,1739944833.40,38.58,-151.28,-84.30,
165612,1739944833.80,10.18,-192.31,-63.86,
166013,1739944834.20,32.61,-142.54,-44.70,
166414,1739944834.60,14.78,-118.28,-16.10,
166815,1739944835.00,13.21,-114.85,17.82,
167214,1739944835.40,-23.63,-161.13,53.57,
167613,1739944835.80,-55.83,-196.94,85.61,
168014,1739944836.20,-83.64,-273.39,119.32,
168413,1739944836.60,-91.18,-346.45,150.03,
168813,1739944837.00,-114.42,-365.62,183.82,
169214,1739944837.40,-133.58,-373.69,212.92,
169613,1739944837.80,-132.82,-339.05,218.66,
170012,1739944838.20,-132.07,-303.43,224.98,
170413,1739944838.60,-131.18,-284.25,227.78,
170812,1739944839.00,-146.13,-261.19,240.83,
171214,1739944839.40,-157.21,-251.12,249.01,
171614,1739944839.80,-148.66,-202.04,239.37,
172014,1739944840.20,-140.45,-188.46,231.42,
172414,1739944840.60,-148.56,-104.01,217.50,
172814,1739944841.00,-168.49,-30.37,194.32,
173214,1739944841.40,-182.05,49.33,175.51,
173613,1739944841.80,-174.73,132.29,158.55,
174015,1739944842.20,-180.94,183.90,144.95,
174415,1739944842.60,-213.68,192.19,132.30,
174815,1739944843.00,-188.88,215.46,117.75,
175219,1739944843.40,-148.55,233.11,100.87,
175614,1739944843.80,-112.43,245.66,85.84,
176013,1739944844.20,-64.14,317.97,82.26,
176414,1739944844.60,-39.11,290.63,68.08,
176815,1739944845.00,-17.05,314.11,49.99,
177216,1739944845.40,18.36,360.50,18.28,
177615,1739944845.80,79.86,310.31,-12.18,
178014,1739944846.20,96.59,297.73,-37.48,
178415,1739944846.60,61.84,266.02,-54.57,
178816,1739944847.00,33.87,267.53,-62.93,
179215,1739944847.40,59.32,328.32,-66.79,
179614,1739944847.80,79.69,304.41,-75.88,
180015,1739944848.20,111.59,343.08,-78.21,
180416,1739944848.60,103.71,349.26,-86.65,
180818,1739944849.00,112.26,393.94,-86.35,
181214,1739944849.40,101.53,369.60,-94.19,
181616,1739944849.80,123.72,388.09,-101.16,
182016,1739944850.20,123.45,357.67,-105.42,
182416,1739944850.60,121.12,304.98,-110.88,
182815,1739944851.00,133.13,284.13,-113.52,
183216,1739944851.40,140.13,238.62,-109.23,
183642,1739944851.80,126.71,157.70,-108.32,
184017,1739944852.20,145.29,148.86,-113.57,
184418,1739944852.60,124.57,148.44,-122.63,
184815,1739944853.00,104.79,104.31,-130.82,
185218,1739944853.40,150.36,124.00,-123.67,
185617,1739944853.80,134.54,96.64,-114.93,
186015,1739944854.20,150.05,113.07,-106.73,
186413,1739944854.60,109.68,81.66,-116.85,
186815,1739944855.00,89.52,45.25,-114.46,
187215,1739944855.40,69.73,-10.80,-115.33,
187615,1739944855.80,18.34,-98.63,-111.45,
188015,1739944856.20,-41.28,-210.20,-95.63,
188416,1739944856.60,-57.98,-256.17,-85.59,
188817,1739944857.00,-88.13,-379.83,-73.98,
189218,1739944857.40,-112.25,-480.62,-63.01,
189617,1739944857.80,-162.20,-608.75,-43.71,
190016,1739944858.20,-185.12,-658.89,-19.82,
190416,1739944858.60,-216.04,-741.17,-1.62,
190817,1739944859.00,-205.96,-700.89,8.12,
191216,1739944859.40,-225.49,-708.85,26.98,
191616,1739944859.80,-205.47,-672.16,53.67,
192016,1739944860.20,-185.12,-616.49,69.06,
192418,1739944860.60,-164.67,-578.07,71.44,
192820,1739944861.00,-112.11,-455.13,66.85,
193222,1739944861.40,-50.82,-397.69,61.18,
193617,1739944861.80,-48.05,-377.24,61.87,
194016,1739944862.20,-43.88,-337.10,66.68,
194420,1739944862.60,-22.48,-297.49,63.92,
194817,1739944863.00,-19.81,-291.67,73.85,
195217,1739944863.40,0.05,-246.34,71.31,
195619,1739944863.80,-14.94,-202.86,66.80,
196019,1739944864.20,-9.21,-161.30,66.98,
196417,1739944864.60,-19.10,-170.89,56.53,
196816,1739944865.00,-9.05,-138.64,52.02,
197218,1739944865.40,0.77,-90.09,57.66,
197618,1739944865.80,58.52,4.80,64.09,
198019,1739944866.20,89.09,68.03,50.38,
198418,1739944866.60,97.17,154.72,48.44,
198817,1739944867.00,119.12,225.31,39.83,
199218,1739944867.40,87.27,248.33,42.07,
199618,1739944867.80,93.30,282.60,39.49,
200017,1739944868.20,65.13,257.94,36.61,
200417,1739944868.60,74.43,253.39,36.17,
200817,1739944869.00,81.32,297.03,29.60,
