epoch,link,log type,data
0,0,BSYS,4,INFO,Firmware SHA: 526A32BB
0.00,2,DATA,SOFT2,50030,2937
0.00,3,DATA,SOFT2,50031,2558
0.00,1,DATA,SOFT2,50137,2951
0.00,2,DATA,SOFT2,50530,2937
0.00,3,DATA,SOFT2,50531,2558
0.00,1,DATA,SOFT2,50637,2951
0.00,2,DATA,SOFT2,51030,2937
0.00,1,DATA,SOFT2,51137,2951
0.00,3,DATA,SOFT2,51031,2558
0.00,2,DATA,SOFT2,51530,2937
0.00,3,DATA,SOFT2,51531,2558
0.00,1,DATA,SOFT2,51637,2951
0.00,2,DATA,SOFT2,52030,2937
0.00,3,DATA,SOFT2,52031,2558
0.00,1,DATA,SOFT2,52137,2951
0.00,2,DATA,SOFT2,52530,2937
0.00,3,DATA,SOFT2,52531,2558
0.00,1,DATA,SOFT2,52637,2951
0.00,2,DATA,SOFT2,53030,2937
0.00,3,DATA,SOFT2,53031,2558
0.00,1,DATA,SOFT2,53137,2951
0.00,2,DATA,SOFT2,53530,2937
0.00,3,DATA,SOFT2,53531,2558
0.00,1,DATA,SOFT2,53637,2951
0.00,2,DATA,SOFT2,54030,2937
0.00,3,DATA,SOFT2,54031,2558
0.00,1,DATA,SOFT2,54137,2951
0.00,2,DATA,SOFT2,54530,2937
0.00,3,DATA,SOFT2,54531,2558
0.00,1,DATA,SOFT2,54637,2951
0.00,2,DATA,SOFT2,55030,2936
0.00,3,DATA,SOFT2,55031,2558
0.00,1,DATA,SOFT2,55137,2951
0.00,2,DATA,SOFT2,55530,2937
0.00,0,BSYS,57617,INFO,etmark 0
0.00,3,DATA,SOFT2,55531,2558
0.00,1,DATA,SOFT2,55637,2951
0.00,2,DATA,SOFT2,56030,2937
0.00,3,DATA,SOFT2,56031,2558
0.00,1,DATA,SOFT2,56137,2951
0.00,2,DATA,SOFT2,56530,2937
0.00,3,DATA,SOFT2,56531,2558
0.00,1,DATA,SOFT2,56637,2951
0.00,2,DATA,SOFT2,57030,2937
0.00,3,DATA,SOFT2,57031,2558
0.00,1,DATA,SOFT2,57137,2951
0.00,2,DATA,SOFT2,57530,2937
0.00,3,DATA,SOFT2,57531,2558
0.00,1,DATA,SOFT2,57637,2951
0.00,2,DATA,SOFT2,58030,2936
0.00,3,DATA,SOFT2,58031,2558
0.00,1,DATA,SOFT2,58137,2951
0.00,2,DATA,SOFT2,58530,2937
0.00,3,DATA,SOFT2,58531,2558
0.00,1,DATA,SOFT2,58637,2951
0.00,2,DATA,SOFT2,59030,2937
0.00,3,DATA,SOFT2,59031,2558
