epoch,link,log type,data
1739992323.98,0,BSYS,262623,INFO,disable SM bus
1739992323.98,0,BSYS,262624,INFO,next ss et 1739992379
1739992328.98,0,BSYS,267628,INFO,etmark 1739992329
1739992339.01,0,BSYS,277628,INFO,etmark 1739992339
1739992349.00,0,BSYS,287628,INFO,etmark 1739992349
1739992359.00,0,BSYS,297628,INFO,etmark 1739992359
1739992369.00,0,BSYS,307628,INFO,etmark 1739992369
1739992379.00,0,BSYS,317622,INFO,enable SM bus
1739992379.00,0,BSYS,317623,INFO,ss until ms 322623
1739992379.00,0,BSYS,317636,INFO,etmark 1739992379
1739992381.62,2,DATA,SOFT2,564,2448
1739992381.65,1,DATA,SOFT2,620,2439
1739992381.76,3,DATA,SOFT2,598,2464
1739992382.12,2,DATA,SOFT2,1064,2448
1739992382.15,1,DATA,SOFT2,1120,2440
1739992382.26,3,DATA,SOFT2,1098,2464
1739992382.62,2,DATA,SOFT2,1564,2448
1739992382.65,1,DATA,SOFT2,1620,2439
1739992382.76,3,DATA,SOFT2,1598,2464
1739992383.12,2,DATA,SOFT2,2064,2448
1739992383.15,1,DATA,SOFT2,2120,2439
1739992383.26,3,DATA,SOFT2,2098,2464
1739992383.62,2,DATA,SOFT2,2564,2448
1739992383.65,1,DATA,SOFT2,2620,2439
1739992383.76,3,DATA,SOFT2,2598,2464
1739992383.98,0,BSYS,322623,INFO,disable SM bus
1739992383.98,0,BSYS,322624,INFO,next ss et 1739992439
1739992388.98,0,BSYS,327629,INFO,etmark 1739992389
1739992399.01,0,BSYS,337628,INFO,etmark 1739992399
1739992409.00,0,BSYS,347629,INFO,etmark 1739992409
1739992419.00,0,BSYS,357629,INFO,etmark 1739992419
1739992429.00,0,BSYS,367629,INFO,etmark 1739992429
1739992439.00,0,BSYS,377623,INFO,enable SM bus
1739992439.00,0,BSYS,377624,INFO,ss until ms 382624
1739992439.00,0,BSYS,377637,INFO,etmark 1739992439
1739992441.59,2,DATA,SOFT2,528,2447
1739992441.65,3,DATA,SOFT2,581,2464
1739992441.67,1,DATA,SOFT2,626,2439
1739992442.09,2,DATA,SOFT2,1028,2446
1739992442.15,3,DATA,SOFT2,1081,2464
1739992442.17,1,DATA,SOFT2,1126,2439
1739992442.59,2,DATA,SOFT2,1528,2446
1739992442.65,3,DATA,SOFT2,1581,2464
1739992442.67,1,DATA,SOFT2,1626,2439
1739992443.09,2,DATA,SOFT2,2028,2446
1739992443.15,3,DATA,SOFT2,2081,2464
1739992443.17,1,DATA,SOFT2,2126,2439
1739992443.59,2,DATA,SOFT2,2528,2446
1739992443.65,3,DATA,SOFT2,2581,2464
1739992443.67,1,DATA,SOFT2,2626,2439
1739992443.98,0,BSYS,382624,INFO,disable SM bus
1739992443.98,0,BSYS,382625,INFO,next ss et 1739992499
1739992448.98,0,BSYS,387629,INFO,etmark 1739992449
1739992459.01,0,BSYS,397629,INFO,etmark 1739992459
1739992469.00,0,BSYS,407629,INFO,etmark 1739992469
1739992479.00,0,BSYS,417629,INFO,etmark 1739992479
1739992489.00,0,BSYS,427629,INFO,etmark 1739992489
1739992499.00,0,BSYS,437624,INFO,enable SM bus
1739992499.00,0,BSYS,437625,INFO,ss until ms 442625
1739992499.00,0,BSYS,437637,INFO,etmark 1739992499
1739992501.57,1,DATA,SOFT2,541,2439
1739992501.62,3,DATA,SOFT2,551,2464
1739992501.67,2,DATA,SOFT2,614,2448
1739992502.07,1,DATA,SOFT2,1041,2440
1739992502.12,3,DATA,SOFT2,1051,2465
1739992502.17,2,DATA,SOFT2,1114,2448
1739992502.57,1,DATA,SOFT2,1541,2440
1739992502.62,3,DATA,SOFT2,1551,2465
1739992502.67,2,DATA,SOFT2,1614,2448
1739992503.07,1,DATA,SOFT2,2041,2440
1739992503.12,3,DATA,SOFT2,2051,2465
1739992503.17,2,DATA,SOFT2,2114,2448
1739992503.57,1,DATA,SOFT2,2541,2440
1739992503.62,3,DATA,SOFT2,2551,2465
1739992503.67,2,DATA,SOFT2,2614,2448
1739992503.98,0,BSYS,442625,INFO,disable SM bus
1739992503.98,0,BSYS,442626,INFO,next ss et 1739992559
1739992508.98,0,BSYS,447630,INFO,etmark 1739992509
1739992519.01,0,BSYS,457630,INFO,etmark 1739992519
1739992529.00,0,BSYS,467630,INFO,etmark 1739992529
1739992539.00,0,BSYS,477630,INFO,etmark 1739992539
1739992549.00,0,BSYS,487630,INFO,etmark 1739992549
1739992559.00,0,BSYS,497624,INFO,enable SM bus
